,Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,POP2000,ALAND10,MSA Code,MSA Name,Density,POPlog,Totlog,Dlog
160,1.655048605,0.281933391,0.023481101,0.06224385,0.000699817,1.096023145,0,0.027502644,0.069132979,0.094031678,150355,1975.496912,27340,"Jacksonville, NC Metropolitan Statistical Area",76.10996458,5.177117875,0.218810753,1.88144152
44,1.663094806,0.111390436,0.034258401,0.211466981,0,1.009273774,0,0.050604223,0.127203053,0.118897943,231969,1022.893152,14740,"Bremerton-Silverdale, WA Metropolitan Statistical Area",226.7773516,5.36542995,0.220917007,2.355599679
47,1.757550764,0.102008323,0.125943435,0.008692862,0.235594341,0.973015363,0,0.044612874,0.11214267,0.155540896,335227,2307.478146,15180,"Brownsville-Harlingen,  TX Metropolitan Statistical Area",145.2785157,5.525338991,0.244907878,2.162201394
65,1.907963966,0.120317171,0.055176241,0.237449666,0.003910725,1.151436214,0,0.05709585,0.143520945,0.139057159,203171,4238.423238,17020,"Chico, CA Metropolitan Statistical Area",47.93551483,5.307861718,0.280570168,1.680657396
356,1.920533204,0.124232859,0.171657338,0.172782888,0,1.166735121,0,0.04660763,0.117156882,0.121360484,222581,11125.02332,49420,"Yakima, WA Metropolitan Statistical Area",20.00723896,5.347488089,0.28342182,1.301187159
163,2.009249594,0.130127181,0.268381103,0.179480576,0,1.259033424,0,0.020477939,0.05147507,0.100274312,181607,2211.416602,27740,"Johnson City, TN Metropolitan Statistical AreaJohnson City, TN Metropolitan Statistical AreaJohnson City, TN Metropolitan Statistical Area",82.12247291,5.259132584,0.303033889,1.914462019
171,2.019096047,0.115199251,0.237237846,0.076860205,0,1.339067938,0,0.037569673,0.094438321,0.118722815,330714,7293.204261,28660,"Killeen-Temple-Fort Hood, TX Metropolitan Statistical AreaKilleen-Temple-Fort Hood, TX Metropolitan Statistical AreaKilleen-Temple-Fort Hood, TX Metropolitan Statistical Area",45.34550085,5.51945258,0.305156978,1.656534203
134,2.042635529,0.129140503,0.236720904,0.20534613,0.018343067,1.20182519,0,0.028210392,0.070912006,0.152137329,152772,2377.355374,24780,"Greenville, NC Metropolitan Statistical AreaGreenville, NC Metropolitan Statistical Area",64.26132234,5.184043764,0.310190882,1.807949658
110,2.098707735,0.133530696,0.259291911,0.174366906,0.000778286,1.325389196,0,0.032512235,0.081725498,0.091113006,336609,2701.509819,22180,"Fayetteville, NC Metropolitan Statistical AreaFayetteville, NC Metropolitan Statistical Area",124.6003245,5.527125724,0.321951963,2.095519173
183,2.109183298,0.093023499,0.07616373,0.056615932,0.444837679,1.11046346,0,0.068532237,0.172268438,0.087278324,193117,8706.199011,29700,"Laredo, TX Metropolitan Statistical Area",22.1815513,5.285820506,0.324114324,1.345991916
301,2.115153294,0.096464513,0.079323717,0.298951657,0.000601205,1.334975877,0,0.05065571,0.127332471,0.126848145,458614,4081.430136,42220,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",112.3660052,5.661447308,0.325341848,2.050634941
